Category,Total Games,Home ATS Wins,Home ATS Losses,Home ATS Pushes,Win Rate (%)
Overall,260,129,129,2,50.0
Month: January,37,19,18,0,51.35135135135135
Month: September,39,23,16,0,58.97435897435898
Month: October,41,21,19,0,52.5
Month: November,57,25,31,0,44.642857142857146
Month: December,86,41,45,0,47.674418604651166
Week 1,13,10,3,0,76.92307692307693
Week 2,13,5,8,0,38.46153846153847
Week 3,8,4,4,0,50.0
Week 4,7,4,3,0,57.14285714285714
Week 5,7,4,3,0,57.14285714285714
Week 6,8,3,5,0,37.5
Week 7,12,7,5,0,58.333333333333336
Week 8,11,6,4,0,60.0
Week 9,11,8,3,0,72.72727272727273
Week 10,14,4,9,0,30.76923076923077
Week 11,15,6,9,0,40.0
Week 12,15,7,8,0,46.666666666666664
Week 13,25,13,12,0,52.0
Week 14,14,6,8,0,42.857142857142854
Week 15,13,7,6,0,53.84615384615385
Week 16,17,7,10,0,41.17647058823529
Week 17,38,17,21,0,44.73684210526316
Week 18,19,11,8,0,57.89473684210527
Playoff: Both In Contention,258,128,128,0,50.0
Playoff: Home Eliminated,1,1,0,0,100.0
Playoff: Away Eliminated,0,0,0,0,0.0
Playoff: Both Eliminated,1,0,1,0,0.0
